SQL> /

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
       181          2  100133963 70501 2 1      325.5                                               
       182          2  100133964 70501 2 1      976.5                                               
       183          2  100133965 70501 2 1        651                                               
       184          2  100133966 70501 2 1       2604                                               
       185          2  100133967 70501 2 1     253.89                                               
       186          2  100133968 70501 2 1      260.4                                               
       187          2  100133969 70501 2 1     156.24                                               
       188          2  100133970 70501 2 1      325.5                                               
       189          2  100133971 70501 2 1     164.24                                               
       190          2  100133972 70501 2 1       1302                                               
       191          2  100133973 70501 2 1      260.4                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
       192          2  100133975 70501 2 1       1302                                               
       193          2  100133976 70501 2 1       1302                                               
       195          2  100133979 70501 2 1      57.29                                               
       196          2  100133980 70501 2 1      325.5                                               
       197          2  100133982 70501 2 1      260.4                                               
       199          2  100133985 70501 2 1      130.2                                               
       200          2  100133986 70501 2 1       65.1                                               
       201          2  100133987 70501 2 1      325.5                                               
       202          2  100133988 70501 2 1      325.5                                               
       205          2  100133991 70501 2 1      716.1                                               
       206          2  100133992 70501 2 1      195.3                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
       208          2  100133995 70501 2 1      97.65                                               
       209          2  100133996 70501 2 1      97.65                                               
       215          2  100134005 70501 2 1       1302                                               
       215          3  100134005 70501 1 1       1302                                               
       215          3  100134005 50115 2 1       1302                                               
       216          2  100134006 70501 2 1        651                                               
       217          2  100134007 70501 2 1      325.5                                               
       218          2  100134009 70501 2 1      520.8                                               
       219          2  100134010 70501 2 1      260.4                                               
       220          2  100134012 70501 2 1      325.5                                               
       224          2  100134017 70501 2 1      976.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
       225          2  100134018 70501 2 1     232.41                                               
       226          2  100134020 70501 2 1      16.28                                               
       227          2  100134021 70501 2 1      91.14                                               
       230          2  100134104 70501 2 1      39.06                                               
       232          2  100134109 70501 2 1       1953                                               
       233          2  100134110 70501 2 1      130.2                                               
       234          2  100134111 70501 2 1      91.14                                               
       235          2  100134114 70501 2 1        651                                               
       235          3  100134114 70501 1 1        651                                               
       235          3  100134114 50115 2 1        651                                               
       240          2  100134133 70501 2 1     896.85                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
       242          2  100133914 70501 2 1      45.57                                               
       243          2  100133916 70501 2 1      26.04                                               
       243          3  100133916 70501 1 1      26.04                                               
       243          3  100133916 50115 2 1      26.04                                               
       244          2  100133917 70501 2 1      26.04                                               
       245          2  100133920 70501 2 1      325.5                                               
       245          3  100133920 70501 1 1      325.5                                               
       245          3  100133920 50115 2 1      325.5                                               
       246          2  100133922 70501 2 1     123.69                                               
       247          2  100133923 70501 2 1     533.68                                               
       247          3  100133923 70501 1 1     533.68                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
       247          3  100133923 50115 2 1     533.68                                               
       249          2  100133927 70501 2 1      52.08                                               
       250          2  100133928 70501 2 1        651                                               
       251          2  100133929 70501 2 1        651                                               
       252          2  100133930 70501 2 1      130.2                                               
       253          2  100133931 70501 2 1        651                                               
       253          3  100133931 70501 1 1        651                                               
       253          3  100133931 50115 2 1        651                                               
       254          2  100133933 70501 2 1      195.3                                               
       254          3  100133933 70501 1 1      195.3                                               
       254          3  100133933 50115 2 1      195.3                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
       255          2  100133934 70501 2 1       1953                                               
       255          3  100133934 70501 1 1       1953                                               
       255          3  100133934 50115 2 1       1953                                               
       257          2  100133937 70501 2 1      130.2                                               
       258          2  100133938 70501 2 1       6.51                                               
       259          2  100133939 70501 2 1      846.3                                               
       260          2  100133940 70501 2 1     115.03                                               
       261          2  100133941 70501 2 1      60.54                                               
       261          3  100133941 70501 1 1      60.54                                               
       261          3  100133941 50115 2 1      60.54                                               
       262          2  100133942 70501 2 1     324.29                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
       263          2  100133944 70501 2 1      716.1                                               
       264          2  100133945 70501 2 1     1627.5                                               
       265          2  100133946 70501 2 1       1302                                               
       266          2  100133947 70501 2 1      325.5                                               
       266          3  100133947 70501 1 1      325.5                                               
       266          3  100133947 50115 2 1      325.5                                               
       267          2  100133948 70501 2 1      45.57                                               
       271          2  100134031 70501 2 1       6510                                               
       273          2  100134036 70501 2 1       1302                                               
       274          2  100134038 70501 2 1        651                                               
       274          3  100134038 70501 1 1        651                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
       274          3  100134038 50115 2 1        651                                               
       276          2  100134040 70501 2 1   11642.02                                               
       279          2  100134048 70501 2 1       65.1                                               
       280          2  100134049 70501 2 1      195.3                                               
       281          2  100134050 70501 2 1      390.6                                               
       281          3  100134050 70501 1 1      390.6                                               
       281          3  100134050 50115 2 1      390.6                                               
       285          2  100134056 70501 2 1      455.7                                               
       287          2  100134059 70501 2 1      260.4                                               
       288          2  100134060 70501 2 1      390.6                                               
       290          2  100134136 70501 2 1      260.4                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
