SQL> /

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
      1848          2  100135981 13301 1 1     6534.8                                               
      1848          2  100135981 50102 2 1     6534.8                                               
      1848          3  100135981 13301 2 1     6534.8                                               
      1849          2  100135982 13301 1 1   65858.53                                               
      1849          2  100135982 50102 2 1   65858.53                                               
      1849          3  100135982 13301 2 1   65858.53                                               
      1850          2  100135983 13301 1 1   22054.95                                               
      1850          2  100135983 50102 2 1   22054.95                                               
      1851          2  100135984 13301 1 1     4901.1                                               
      1851          2  100135984 50102 2 1     4901.1                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1851          3  100135984 13301 2 1     4901.1                                               
      1852          2  100135985 13301 1 1    31232.5                                               
      1852          2  100135985 50102 2 1    31232.5                                               
      1852          3  100135985 13301 2 1    31232.5                                               
      1853          2  100135986 13301 1 1       2883                                               
      1853          2  100135986 50102 2 1       2883                                               
      1853          3  100135986 13301 2 1       2883                                               
      1855          2  100135988 13301 1 1     161.21                                               
      1855          2  100135988 50103 2 1     161.21                                               
      1855          3  100135988 13301 2 1     161.21                                               
      1856          2  100135989 13301 1 1     8168.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1856          2  100135989 50103 2 1     8168.5                                               
      1856          3  100135989 13301 2 1     8168.5                                               
      1858          2  100135991 70501 2 1    1783.28                                               
      1860          2  100135993 70501 2 1    3243.38                                               
      1860          3  100135993 13301 2 1    3243.38                                               
      1861          2  100135994 13301 1 1     138.07                                               
      1861          2  100135994 50103 2 1     138.07                                               
      1861          3  100135994 13301 2 1     138.07                                               
      1862          2  100135995 13301 1 1      192.2                                               
      1862          2  100135995 50103 2 1      192.2                                               
      1862          3  100135995 13301 2 1      192.2                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1863          2  100135996 13301 1 1      98022                                               
      1863          2  100135996 50102 2 1      98022                                               
      1863          3  100135996 13301 2 1      98022                                               
      1864          2  100135997 13301 1 1    31232.5                                               
      1864          2  100135997 50102 2 1    31232.5                                               
      1866          2  100136000 13301 1 1    24505.5                                               
      1866          2  100136000 50102 2 1    24505.5                                               
      1866          3  100136000 13301 2 1    24505.5                                               
      1867          2  100136001 13301 1 1    39208.8                                               
      1867          2  100136001 50102 2 1    39208.8                                               
      1872          2  100136424 13301 1 1    1133.44                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1872          2  100136424 50103 2 1    1133.44                                               
      1872          3  100136424 13301 2 1    1133.44                                               
      1873          2  100136425 13301 1 1    2266.88                                               
      1873          2  100136425 50103 2 1    2266.88                                               
      1874          2  100136426 13301 1 1         93                                               
      1874          2  100136426 50103 2 1         93                                               
      1874          3  100136426 13301 2 1         93                                               
      1876          2  100136428 13301 1 1     6534.8                                               
      1876          2  100136428 50103 2 1     6534.8                                               
      1876          3  100136428 13301 2 1     6534.8                                               
      1877          2  100136429 13301 1 1     8168.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1877          2  100136429 50103 2 1     8168.5                                               
      1877          3  100136429 13301 2 1     8168.5                                               
      1878          2  100136430 13301 1 1   119892.5                                               
      1878          2  100136430 50102 2 1   119892.5                                               
      1878          3  100136430 13301 2 1   119892.5                                               
      1879          2  100136431 13301 1 1  115610.63                                               
      1879          2  100136431 50102 2 1  115610.63                                               
      1879          3  100136431 13301 2 1  115610.63                                               
      1880          2  100136432 13301 1 1    3274.38                                               
      1880          2  100136432 50102 2 1    3274.38                                               
      1880          3  100136432 13301 2 1    3274.38                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1881          2  100136433 13301 1 1    75562.5                                               
      1881          2  100136433 50103 2 1    75562.5                                               
      1881          3  100136433 13301 2 1    75562.5                                               
      1882          2  100136434 13301 1 1    13097.5                                               
      1882          2  100136434 50102 2 1    13097.5                                               
      1882          3  100136434 13301 2 1    13097.5                                               
      1883          2  100136435 13301 1 1     137020                                               
      1883          2  100136435 50102 2 1     137020                                               
      1883          3  100136435 13301 2 1     137020                                               
      1884          2  100136436 13301 1 1    4281.88                                               
      1884          2  100136436 50103 2 1    4281.88                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1886          2  100136438 13301 1 1  113343.75                                               
      1886          2  100136438 50102 2 1  113343.75                                               
      1886          3  100136438 13301 2 1  113343.75                                               
      1887          2  100136439 13301 1 1   17030.81                                               
      1887          2  100136439 50103 2 1   17030.81                                               
      1887          3  100136439 13301 2 1   17030.81                                               
      1888          2  100136440 13301 1 1     130975                                               
      1888          2  100136440 50105 2 1     130975                                               
      1888          3  100136440 13301 2 1     130975                                               
      1889          2  100136441 13301 1 1   42818.75                                               
      1889          2  100136441 50102 2 1   42818.75                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1889          3  100136441 13301 2 1   42818.75                                               
      1890          2  100136444 13301 1 1     171275                                               
      1890          2  100136444 50102 2 1     171275                                               
      1890          3  100136444 13301 2 1     171275                                               
      1891          2  100136445 13301 1 1    8563.75                                               
      1891          2  100136445 50102 2 1    8563.75                                               
      1891          3  100136445 13301 2 1    8563.75                                               
      1894          2  100136455 13301 1 1      16337                                               
      1894          2  100136455 50102 2 1      16337                                               
      1894          3  100136455 13301 2 1      16337                                               
      1895          2  100136456 13301 1 1    85637.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1895          2  100136456 50102 2 1    85637.5                                               
      1895          3  100136456 13301 2 1    85637.5                                               
      1896          2  100136457 13301 1 1    85637.5                                               
      1896          2  100136457 50102 2 1    85637.5                                               
      1896          3  100136457 13301 2 1    85637.5                                               
      1897          2  100136458 13301 1 1  128456.25                                               
      1897          2  100136458 50102 2 1  128456.25                                               
      1897          3  100136458 13301 2 1  128456.25                                               
      1898          2  100136459 13301 1 1   22668.75                                               
      1898          2  100136459 50102 2 1   22668.75                                               
      1898          3  100136459 13301 2 1   22668.75                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1899          2  100136460 13301 1 1    85637.5                                               
      1899          2  100136460 50102 2 1    85637.5                                               
      1899          3  100136460 13301 2 1    85637.5                                               
      1900          2  100136462 13301 1 1   42818.75                                               
      1900          2  100136462 50102 2 1   42818.75                                               
      1901          2  100136463 13301 1 1      68510                                               
      1901          2  100136463 50102 2 1      68510                                               
      1901          3  100136463 13301 2 1      68510                                               
      1902          2  100136464 13301 1 1    8563.75                                               
      1902          2  100136464 50103 2 1    8563.75                                               
      1902          3  100136464 13301 2 1    8563.75                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1903          2  100136310 13301 1 1      16337                                               
      1903          2  100136310 50103 2 1      16337                                               
      1903          3  100136310 13301 2 1      16337                                               
      1909          2  100136323 13301 1 1       1209                                               
      1909          2  100136323 50103 2 1       1209                                               
      1909          3  100136323 13301 2 1       1209                                               
      1910          2  100136324 13301 1 1      318.3                                               
      1910          2  100136324 50109 2 1      318.3                                               
      1910          3  100136324 13301 2 1      318.3                                               
      1911          2  100136325 13301 1 1        780                                               
      1911          2  100136325 50103 2 1        780                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1911          2  100136325 13301 1 1      162.5                                               
      1911          2  100136325 50103 2 1      162.5                                               
      1911          3  100136325 13301 2 1        780                                               
      1911          3  100136325 13301 2 1      162.5                                               
      1912          2  100136326 13301 1 1     151125                                               
      1912          2  100136326 50102 2 1     151125                                               
      1913          2  100136333 13301 1 1    4281.88                                               
      1913          2  100136333 50102 2 1    4281.88                                               
      1913          3  100136333 13301 2 1    4281.88                                               
      1914          2  100136334 13301 1 1    17127.5                                               
      1914          2  100136334 50102 2 1    17127.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1914          3  100136334 13301 2 1    17127.5                                               
      1915          2  100136335 13301 1 1    8563.75                                               
      1915          2  100136335 50102 2 1    8563.75                                               
      1915          3  100136335 13301 2 1    8563.75                                               
      1916          2  100136336 13301 1 1    65487.5                                               
      1916          2  100136336 50103 2 1    65487.5                                               
      1916          3  100136336 13301 2 1    65487.5                                               
      1917          2  100136338 13301 1 1    4281.88                                               
      1917          2  100136338 50101 2 1    4281.88                                               
      1920          2  100136191 13301 1 1      81685                                               
      1920          2  100136191 50102 2 1      81685                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1921          2  100136192 13301 1 1     124930                                               
      1921          2  100136192 50102 2 1     124930                                               
      1921          3  100136192 13301 2 1     124930                                               
      1922          2  100136193 13301 1 1   108112.5                                               
      1922          2  100136193 50102 2 1   108112.5                                               
      1922          3  100136193 13301 2 1   108112.5                                               
      1923          2  100136194 13301 1 1    4084.25                                               
      1923          2  100136194 50102 2 1    4084.25                                               
      1923          3  100136194 13301 2 1    4084.25                                               
      1924          2  100136195 13301 1 1      32674                                               
      1924          2  100136195 50102 2 1      32674                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1925          2  100136196 13301 1 1    24505.5                                               
      1925          2  100136196 50102 2 1    24505.5                                               
      1926          2  100136197 13301 1 1    40842.5                                               
      1926          2  100136197 50102 2 1    40842.5                                               
      1926          3  100136197 13301 2 1    40842.5                                               
      1927          2  100136198 13301 1 1     237.27                                               
      1927          2  100136198 50105 2 1     237.27                                               
      1927          3  100136198 13301 2 1     237.27                                               
      1930          2  100136201 13301 1 1     237.27                                               
      1930          2  100136201 50105 2 1     237.27                                               
      1930          3  100136201 13301 2 1     237.27                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1931          2  100136202 13301 1 1     237.27                                               
      1931          2  100136202 50105 2 1     237.27                                               
      1931          3  100136202 13301 2 1     237.27                                               
      1934          2  100136205 13301 1 1      65348                                               
      1934          2  100136205 50103 2 1      65348                                               
      1935          2  100136206 13301 1 1     237.27                                               
      1935          2  100136206 50105 2 1     237.27                                               
      1935          3  100136206 13301 2 1     237.27                                               
      1936          2  100136207 13301 1 1      192.2                                               
      1936          2  100136207 50103 2 1      192.2                                               
      1936          3  100136207 13301 2 1      192.2                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1937          2  100136208 13301 1 1     245055                                               
      1937          2  100136208 50102 2 1     245055                                               
      1937          3  100136208 13301 2 1     245055                                               
      1938          2  100136209 13301 1 1    24505.5                                               
      1938          2  100136209 50102 2 1    24505.5                                               
      1938          3  100136209 13301 2 1    24505.5                                               
      1940          2  100136211 13301 1 1     9067.5                                               
      1940          2  100136211 50102 2 1     9067.5                                               
      1940          3  100136211 13301 2 1     9067.5                                               
      1941          2  100136212 13301 1 1    93697.5                                               
      1941          2  100136212 50102 2 1    93697.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1941          3  100136212 13301 2 1    93697.5                                               
      1942          2  100136213 70501 2 1     749.58                                               
      1943          2  100136214 13301 1 1    81204.5                                               
      1943          2  100136214 50102 2 1    81204.5                                               
      1943          3  100136214 13301 2 1    81204.5                                               
      1944          2  100136215 13301 1 1      11532                                               
      1944          2  100136215 50102 2 1      11532                                               
      1944          3  100136215 13301 2 1      11532                                               
      1945          2  100136216 13301 1 1     7207.5                                               
      1945          2  100136216 50102 2 1     7207.5                                               
      1945          3  100136216 13301 2 1     7207.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1946          2  100136217 13301 1 1      62465                                               
      1946          2  100136217 50102 2 1      62465                                               
      1947          2  100136218 13301 1 1      72075                                               
      1947          2  100136218 50102 2 1      72075                                               
      1947          3  100136218 13301 2 1      72075                                               
      1953          2  100136224 13301 1 1    43725.5                                               
      1953          2  100136224 50102 2 1    43725.5                                               
      1953          3  100136224 13301 2 1    43725.5                                               
      1954          2  100136225 13301 1 1    40842.5                                               
      1954          2  100136225 50103 2 1    40842.5                                               
      1954          3  100136225 13301 2 1    40842.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1955          2  100136226 13301 1 1    3104.03                                               
      1955          2  100136226 50102 2 1    3104.03                                               
      1955          3  100136226 13301 2 1    3104.03                                               
      1956          2  100136227 13301 1 1   36758.25                                               
      1956          2  100136227 50102 2 1   36758.25                                               
      1959          2  100136230 13301 1 1   204212.5                                               
      1959          2  100136230 50102 2 1   204212.5                                               
      1959          3  100136230 13301 2 1   204212.5                                               
      1960          2  100136231 13301 1 1     163370                                               
      1960          2  100136231 50102 2 1     163370                                               
      1960          3  100136231 13301 2 1     163370                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1961          2  100136232 13301 1 1     163370                                               
      1961          2  100136232 50102 2 1     163370                                               
      1961          3  100136232 13301 2 1     163370                                               
      1962          2  100136233 13301 1 1   29358.55                                               
      1962          2  100136233 50102 2 1   29358.55                                               
      1963          2  100136234 13301 1 1      24.92                                               
      1963          2  100136234 50103 2 1      24.92                                               
      1963          3  100136234 13301 2 1      24.92                                               
      1964          2  100136237 13301 1 1    40842.5                                               
      1964          2  100136237 50102 2 1    40842.5                                               
      1965          2  100136238 13301 1 1     624.65                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1965          2  100136238 50103 2 1     624.65                                               
      1965          3  100136238 13301 2 1     624.65                                               
      1966          2  100136239 13301 1 1    40842.5                                               
      1966          2  100136239 50102 2 1    40842.5                                               
      1966          3  100136239 13301 2 1    40842.5                                               
      1967          2  100136240 13301 1 1     237.27                                               
      1967          2  100136240 50105 2 1     237.27                                               
      1967          3  100136240 13301 2 1     237.27                                               
      1968          2  100136241 13301 1 1     237.27                                               
      1968          2  100136241 50105 2 1     237.27                                               
      1968          3  100136241 13301 2 1     237.27                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1969          2  100136242 13301 1 1     237.77                                               
      1969          2  100136242 50105 2 1     237.77                                               
      1969          3  100136242 13301 2 1     237.77                                               
      1970          2  100136243 13301 1 1     237.27                                               
      1970          2  100136243 50105 2 1     237.27                                               
      1970          3  100136243 13301 2 1     237.27                                               
      1972          2  100136245 70501 2 1   13374.56                                               
      1974          2  100136247 13301 1 1     237.27                                               
      1974          2  100136247 50105 2 1     237.27                                               
      1974          3  100136247 13301 2 1     237.27                                               
      1976          2  100136249 13301 1 1    40842.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1976          2  100136249 50102 2 1    40842.5                                               
      1976          3  100136249 13301 2 1    40842.5                                               
      1977          2  100136250 13301 1 1      49011                                               
      1977          2  100136250 50102 2 1      49011                                               
      1977          3  100136250 13301 2 1      49011                                               
      1978          2  100136251 13301 1 1    40842.5                                               
      1978          2  100136251 50102 2 1    40842.5                                               
      1978          3  100136251 13301 2 1    40842.5                                               
      1979          2  100136252 13301 1 1    21622.5                                               
      1979          2  100136252 50102 2 1    21622.5                                               
      1979          3  100136252 13301 2 1    21622.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1980          2  100136253 13301 1 1     8168.5                                               
      1980          2  100136253 50102 2 1     8168.5                                               
      1980          3  100136253 13301 2 1     8168.5                                               
      1981          2  100136254 13301 1 1      48050                                               
      1981          2  100136254 50103 2 1      48050                                               
      1981          3  100136254 13301 2 1      48050                                               
      1982          2  100136255 13301 1 1    9369.75                                               
      1982          2  100136255 50102 2 1    9369.75                                               
      1982          3  100136255 13301 2 1    9369.75                                               
      1983          2  100136257 13301 1 1     8168.5                                               
      1983          2  100136257 50102 2 1     8168.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1984          2  100136258 13301 1 1     4901.1                                               
      1984          2  100136258 50101 2 1     4901.1                                               
      1985          2  100136259 13301 1 1      81685                                               
      1985          2  100136259 50102 2 1      81685                                               
      1985          3  100136259 13301 2 1      81685                                               
      1986          2  100136344 13301 1 1    75562.5                                               
      1986          2  100136344 50102 2 1    75562.5                                               
      1987          2  100136349 13301 1 1  128456.25                                               
      1987          2  100136349 50103 2 1  128456.25                                               
      1987          3  100136349 13301 2 1  128456.25                                               
      1989          2  100136354 13301 1 1     3425.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1989          2  100136354 50103 2 1     3425.5                                               
      1989          3  100136354 13301 2 1     3425.5                                               
      1990          2  100136355 13301 1 1    2115.75                                               
      1990          2  100136355 50103 2 1    2115.75                                               
      1990          3  100136355 13301 2 1    2115.75                                               
      1992          2  100136358 13301 1 1     503.75                                               
      1992          2  100136358 50103 2 1     503.75                                               
      1992          3  100136358 13301 2 1     503.75                                               
      1993          2  100136359 13301 1 1      13702                                               
      1993          2  100136359 50103 2 1      13702                                               
      1993          3  100136359 13301 2 1      13702                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1995          2  100136362 13301 1 1   98231.25                                               
      1995          2  100136362 50102 2 1   98231.25                                               
      1995          3  100136362 13301 2 1   98231.25                                               
      1997          2  100136367 13301 1 1    85637.5                                               
      1997          2  100136367 50102 2 1    85637.5                                               
      1997          3  100136367 13301 2 1    85637.5                                               
      1998          2  100136368 13301 1 1    85637.5                                               
      1998          2  100136368 50102 2 1    85637.5                                               
      1998          3  100136368 13301 2 1    85637.5                                               
      2000          2  100136372 13301 1 1    17127.5                                               
      2000          2  100136372 50103 2 1    17127.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      2000          3  100136372 13301 2 1    17127.5                                               
      2002          2  100136374 13301 1 1      16337                                               
      2002          2  100136374 50102 2 1      16337                                               
      2002          3  100136374 13301 2 1      16337                                               
      2003          2  100136375 13301 1 1      34255                                               
      2003          2  100136375 50103 2 1      34255                                               
      2003          3  100136375 13301 2 1      34255                                               
      2004          2  100136378 13301 1 1   25691.25                                               
      2004          2  100136378 50103 2 1   25691.25                                               
      2004          3  100136378 13301 2 1   25691.25                                               
      2005          2  100136379 13301 1 1      27404                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      2005          2  100136379 50101 2 1      27404                                               
      2005          3  100136379 13301 2 1      27404                                               
      2006          2  100136380 13301 1 1   42818.75                                               
      2006          2  100136380 50103 2 1   42818.75                                               
      2006          3  100136380 13301 2 1   42818.75                                               
      2007          2  100136382 13301 1 1    24505.5                                               
      2007          2  100136382 50102 2 1    24505.5                                               
      2007          3  100136382 13301 2 1    24505.5                                               
      2008          2  100136383 13301 1 1      68510                                               
      2008          2  100136383 50102 2 1      68510                                               
      2008          3  100136383 13301 2 1      68510                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      2009          2  100136384 13301 1 1    85637.5                                               
      2009          2  100136384 50102 2 1    85637.5                                               
      2009          3  100136384 13301 2 1    85637.5                                               
      2010          2  100136385 13301 1 1    8563.75                                               
      2010          2  100136385 50103 2 1    8563.75                                               
      2010          3  100136385 13301 2 1    8563.75                                               
      2011          2  100136386 13301 1 1        351                                               
      2011          2  100136386 50115 2 1        351                                               
      2011          2  100136386 13301 1 1      17.27                                               
      2011          2  100136386 50115 2 1      17.27                                               
      2012          2  100136387 13301 1 1    85637.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      2012          2  100136387 50103 2 1    85637.5                                               
      2012          3  100136387 13301 2 1    85637.5                                               
      2013          2  100136160 13301 1 1    5717.95                                               
      2013          2  100136160 50101 2 1    5717.95                                               
      2014          2  100136161 13301 1 1    40842.5                                               
      2014          2  100136161 50103 2 1    40842.5                                               
      2014          3  100136161 13301 2 1    40842.5                                               
      2015          2  100136162 13301 1 1    8563.75                                               
      2015          2  100136162 50103 2 1    8563.75                                               
      2015          3  100136162 13301 2 1    8563.75                                               
      2016          2  100136166 13301 1 1        640                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      2016          2  100136166 50109 2 1        640                                               
      2016          3  100136166 13301 2 1        640                                               
      2017          2  100136167 13301 1 1      16337                                               
      2017          2  100136167 50103 2 1      16337                                               
      2017          3  100136167 13301 2 1      16337                                               
      2018          2  100136168 13301 1 1     144150                                               
      2018          2  100136168 50102 2 1     144150                                               
      2019          2  100136170 13301 1 1      16337                                               
      2019          2  100136170 50102 2 1      16337                                               
      2019          3  100136170 13301 2 1      16337                                               
      2020          2  100136171 13301 1 1    31232.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
